Id	Sire	Dam	Sex	Birth	Death	Departure
11010	7838	6233	Male	1980-05-24	1980-08-22	
11012	7838	9305	Male	1980-05-26	1980-05-26	
11013	5510	6745	Male	1980-05-26	1980-10-22	
11014			Male	1980-05-28	1980-05-28	
11015			Male	1980-05-28	1980-05-28	
11016			Male	1980-05-28	1980-05-28	
11017			Unknown	1980-05-28	1980-05-28	
11018	7084	6898	Male	1980-05-29	1980-05-29	
11020	1182	9002	Male	1980-06-03	1980-06-03	
11021			Unknown	1980-06-03	1980-06-03	
11022	5479	8329	Male	1980-06-04	1980-10-07	
11025		8975	Male	1980-06-04		1981-08-03 00:00
11026		8613	Female	1980-06-04		1995-07-17 00:00
11028	1401	5507	Female	1980-06-09	1997-09-16	
