ID	DAM	SIRE	SEX	BIRTHDATE
21193	15875	16339	F	19990401
21197	16229	16663	M	19990401
21204	16262	16327	M	19990401
21437	18037	17673	F	20000218
21484	18590	?243	M	20000328
21493	18181	17985	F	20000409
21536	16705	16148	F	20000410
21538	16144	16242	F	20000401
21540	16066	16327	F	20000501
21545	15961	16242	F	20000420
21547	16342	16242	F	20000410
21559	16203	16327	M	20000501
21581	19260	19299	F	20000513
21585	19148	19299	F	20000501
21588	19275	19302	M	20000420
21604	14736	19858	F	20000518
21709	16485	15929	F	20000520
21717	16718	16476	F	20000415
21718	17287	16412	F	20000401
21723	17205	16695	F	20000518
21732	16733	16476	F	20000510
21735	17039	16445	F	20000415
21736	17062	16445	F	20000415
21738	17107	16445	F	20000501
21742	17047	16695	F	20000501
21743	17100	16445	F	20000501
21744	17041	16476	F	20000501
21748	16732	16533	F	20000601
21756	19966	17523	M	20000611
21765	18087	18065	F	20000501
21770	18206	18065	F	20000601
21771	17694	17985	F	20000501
21794	17982	18607	M	20000415
21798	18110	18607	M	20000501
21817	15324	16569	F	20000624
21830	16579	12385	F	20000627
21839	15324	16569	F	20000717
21869	18480	18854	F	20000401
21872	18875	18834	F	20000501
21874	18388	18813	F	20000601
21875	18781	18834	F	20000601
21878	19559	17644	M	20000720
21900	17582	17666	F	20000401
21905	17695	17673	F	20000701
21914	17706	17673	F	20000301
21916	17596	17645	F	20000301
21917	17428	17666	F	20000401
21935			F	19990419
21936			M	19920101
21941			M	19890503
22041	16146	16242	F	20000515
22042	15242	12334	F	20001130
22060	16197	16327	F	20000515
22061	16510	16148	F	20000515
22175	16247	16148	M	20010223
22178			M	19930430
22203			F	20000101
22204			F	20000101
22210			M	20000511
22212			M	20000101
22216			M	20000101
22241	19215	19314	F	20010401
22276	16733	19787	F	20010415
22287	19834	19299	F	20010507
22292	19812	19296	F	20010509
22323	19839	19301	M	20010401
22325	19657	16339	M	20010510
22333	16197	16148	F	20010601
22335	16262	16148	M	20010401
22337	16176	16327	M	20010415
22401	14999	19858	F	20010514
22409	16206	18621	F	20010618
22432	19211	19315	F	20010501
22434	19097	19315	F	20010501
22435	19148	19296	F	20010501
22446	19790	19308	F	20010401
22447	19259	19308	M	20010401
22453	19798	19314	M	20010401
22456	19779	19296	M	20010401
22461	19198	19296	F	20010401
22464	19208	19296	F	20010501
22465	19773	19308	F	20010401
22484	18590	18818	F	20010401
22503	19193	18835	F	20010401
22506	18819	18845	M	20010401
22551	17003	17751	M	20010401
22562	17705	17563	F	20010401
22567	17708	17563	M	20010401
22594	17120	19787	M	20010401
22595	16518	16494	F	20010401
22596	17279	16445	F	20010401
22598	17041	19787	F	20010401
22599	17065	19787	F	20010401
22603	17194	19787	M	20010401
22604	17128	16445	F	20010401
22606	17047	16454	M	20010401
22610	16718	19787	F	20010501
22611	17166	16695	M	20010401
22612	17062	16445	F	20010401
22613	20197	19787	F	20010401
22620	17140	16445	M	20010401
22622	17073	16695	F	20000615
22623	17197	16695	F	20000615
22630	18072	18599	F	20010401
22644	18112	18065	F	20010401
22645	17766	17492	M	20010401
22650	18087	17492	M	20010401
22656	17893	18607	F	20010401
22662	18105	18607	M	20010401
22677	19230	14931	F	20010715
22679	16149	16327	F	20010827
22741	18355	12334	M	20010629
22766	16658	16538	F	20020205
22777	18852	18834	M	20020223
22813	16193	16339	F	20020321
22815	20348	18219	F	20020320
22979	17120	20208	M	20020510
22988	17285	16445	F	20020428
22994	17128	16454	F	20020514
23001	20218	20208	F	20020422
23002	17073	19787	F	20020422
23003	20214	16412	M	20020422
23004	19785	16533	M	20020422
23008	21022	20208	F	20020520
23009	20205	19787	M	20020510
23011	18201	18065	F	20020427
23022	19193	18835	M	20020513
23023	18769	18834	F	20020115
23025	18608	18834	F	20020115
23036	18421	18854	F	20020320
23047	18684	18834	F	20020520
23049	18817	18835	F	20020513
23060	18703	18841	F	20020320
23063	18815	18835	F	20020215
23064	19089	18835	F	20020503
23067	16539	17526	F	20020604
23097	18064	17563	F	20020101
23105	17610	17645	M	20020201
23108	17593	17673	M	20020613
23121	17753	17645	F	20020420
23128	17722	17645	M	20020101
23133	17638	20239	F	20020501
23136	20044	16533	M	20020510
23145	17065	16445	M	20020610
23155	16510	16327	F	20020615
23160	19656	16148	F	20020415
23161	16142	16327	M	20020315
23166	21179	16148	M	20020701
23167	19653	16327	M	20020315
23169	16599	16663	F	20020501
23174	16176	16327	F	20020315
23176	15009	19858	M	20020705
23187	19199	19296	F	20020615
23190	19791	19296	F	20020215
23191	19770	19296	M	20020301
23192	19799	19303	M	20020215
23195	19283	19296	M	20020315
23197	19253	19296	F	20020615
23198	19042	19301	F	20020301
23199	19204	19303	F	20020315
23200	19215	18918	F	20020301
23204	19810	19299	F	20020315
23205	19811	19315	F	20020415
23206	19841	19315	F	20020501
23207	19211	19301	F	20020301
23209	19739	19303	M	20020301
23210	19260	19302	M	20020301
23211	19097	19315	F	20020301
23213	19727	19296	M	20020301
23222	17648	20245	M	20020401
