"","x"
"1104","12656"
"1105","12656"
"1106","12656"
"1107","12656"
"1108","12656"
"1109","12656"
"1110","12656"
"1111","12656"
"1112","12656"
"1113","12656"
"1114","12656"
"1115","12656"
"1116","12656"
"1117","12656"
"1118","12656"
"1119","12656"
"1120","12656"
"1121","12656"
"1122","12656"
"1123","12656"
"1124","12656"
"1125","12656"
"1126","12656"
"1127","12656"
"1128","12656"
"1129","12656"
"1130","12656"
"1131","12656"
"1132","12656"
"1133","12656"
"1134","12656"
"1135","12656"
"1136","12656"
"1137","12656"
"1138","12656"
"1139","12656"
"1140","12656"
"1141","12656"
"1142","12656"
"1143","12656"
"1144","12656"
"1145","12656"
"1146","12656"
"1147","12656"
"1148","12656"
"1149","12656"
"1150","12656"
"1151","12656"
"1152","12656"
"1153","12773"
"1154","12773"
"1155","12773"
"1156","12780"
"1157","12780"
"1158","12780"
"1159","12792"
"1160","12792"
"1161","12792"
"1162","12792"
"1163","12792"
"1164","12792"
"1165","12792"
"1166","12792"
"1167","12792"
"1168","12792"
"1169","12792"
"1170","12792"
"1171","12792"
"1172","12792"
"1173","12792"
"1174","12792"
"1175","12792"
"1176","12792"
"1177","12792"
"1178","12792"
"1179","12792"
"1180","12792"
"1181","12792"
"1182","12792"
"1183","12792"
"1184","12792"
"1185","12792"
"1186","12792"
"1187","12792"
"1188","12792"
"1189","12792"
"1190","12792"
"1191","12908"
"1192","12908"
"1193","12908"
"1194","12908"
"1195","12908"
"1196","12908"
"1197","12908"
"1198","12908"
"1199","12908"
"1200","12908"
"1201","12908"
"1202","12908"
"1203","12932"
"1204","12932"
"1205","12932"
"1206","12932"
"1207","12932"
"1208","12932"
"1209","13051"
"1210","13051"
"1211","13051"
"1212","13051"
"1213","13051"
"1214","13051"
"1215","13051"
"1216","13051"
"1217","13051"
"1218","13051"
"1219","13051"
"1220","13051"
"1221","13051"
"1222","13051"
"1223","13051"
"1224","13051"
"1225","13051"
"1226","13051"
"1227","13051"
"1228","13051"
"1229","13051"
"1230","13051"
"1231","13051"
"1232","13051"
"1233","13051"
"1234","13051"
"1235","13110"
"1236","13110"
"1237","13110"
"1238","13110"
"1239","13110"
"1240","13110"
"1241","13110"
"1242","13110"
"1243","13110"
"1244","13110"
"1245","13110"
"1246","13110"
"1247","13110"
"1248","13110"
"1249","13110"
"1250","13110"
"1251","13110"
"1252","13110"
"1253","13110"
"1254","13110"
"1255","13110"
"1256","13110"
"1257","13110"
"1258","13110"
"1259","13110"
"1260","13110"
"1261","13110"
"1262","13110"
"1263","13110"
"1264","13110"
"1265","13125"
"1266","13125"
"1267","13125"
"1268","13125"
"1269","13125"
"1270","13125"
"1271","13125"
"1272","13216"
"1273","13245"
"1274","13245"
"1275","13245"
"1276","13245"
"1277","13245"
"1278","13245"
"1279","13245"
"1280","13245"
"1281","13245"
"1282","13245"
"1283","13245"
"1284","13245"
"1285","13245"
"1286","13245"
"1287","13245"
"1288","13245"
"1289","13245"
"1290","13245"
"1291","13245"
"1292","13245"
"1293","13245"
"1294","13245"
"1295","13245"
"1296","13245"
"1297","13245"
"1298","13245"
"1299","13245"
"1300","13245"
"1301","13245"
"1302","13245"
"1303","13245"
"1304","13245"
"1305","13245"
"1306","13245"
"1307","13245"
"1308","13245"
"1309","13245"
"1310","13245"
"1311","13245"
"1312","13245"
"1313","13245"
"1314","13245"
"1315","13245"
"1316","13245"
"1317","13245"
"1318","13245"
"1319","13245"
"1320","13245"
"1321","13245"
"1322","13245"
"1323","13245"
"1324","13245"
"1325","13245"
"1326","13245"
"1327","13245"
"1328","13245"
"1329","13245"
"1330","13245"
"1331","13245"
"1332","13245"
"1333","13245"
"1334","13245"
"1335","13245"
"1336","13245"
"1337","13245"
"1338","13245"
"1339","13245"
"1340","13245"
"1341","13245"
"1342","13245"
"1343","13245"
"1344","13245"
"1345","13245"
"1346","13245"
"1347","13245"
"1348","13245"
"1349","13245"
"1350","13245"
"1351","13245"
"1352","13245"
"1353","13245"
"1354","13245"
"1355","13245"
"1356","13245"
"1357","13245"
"1358","13245"
"1359","13245"
"1360","13480"
"1361","13480"
"1362","13480"
"1363","13480"
"1364","13480"
"1365","13480"
"1366","13480"
"1367","13480"
"1368","13644"
"1369","13644"
"1370","13644"
"1371","13644"
"1372","13644"
"1373","13644"
"1374","13644"
"1375","13644"
"1376","13644"
"1377","13644"
"1378","13644"
"1379","13644"
"1380","13644"
"1381","13644"
"1382","13644"
"1383","13644"
"1384","13644"
"1385","13644"
"1386","13698"
"1387","13698"
"1388","13698"
"1389","13698"
"1390","13698"
"1391","13698"
"1392","13698"
"1393","13698"
"1394","13698"
"1395","13698"
"1396","13698"
"1397","13698"
"1398","13698"
"1399","13698"
"1400","13698"
"1401","13698"
"1402","13698"
"1403","13698"
"1404","13698"
"1405","13698"
"1406","13698"
"1407","13698"
"1408","13698"
"1409","13698"
"1410","13698"
"1411","13698"
"1412","13698"
"1413","13698"
"1414","13698"
"1415","13698"
"1416","13698"
"1417","13698"
"1418","13698"
"1419","13698"
"1420","13698"
"1421","13698"
"1422","13698"
"1423","13698"
"1424","13698"
"1425","13698"
"1426","13698"
"1427","13698"
"1428","13698"
"1429","13698"
"1430","13698"
"1431","13698"
"1432","13698"
"1433","13698"
"1434","13698"
"1435","13698"
"1436","13698"
"1437","13698"
"1438","13698"
"1439","13698"
"1440","13698"
"1441","13698"
"1442","13698"
"1443","13701"
"1444","13701"
"1445","13701"
"1446","13701"
"1447","13701"
"1448","13701"
"1449","13701"
"1450","13701"
"1451","13701"
"1452","13701"
"1453","13701"
"1454","13701"
"1455","13701"
"1456","13701"
"1457","13701"
"1458","13701"
"1459","13701"
"1460","13701"
"1461","13701"
"1462","13701"
"1463","13701"
"1464","13701"
"1465","13701"
"1466","13701"
"1467","13701"
"1468","13701"
"1469","13701"
"1470","13701"
"1471","13701"
"1472","13701"
"1473","13701"
"1474","13701"
"1475","13701"
"1476","13701"
"1477","13701"
"1478","13701"
"1479","13701"
"1480","13701"
"1481","13702"
"1482","13702"
"1483","13702"
"1484","13702"
"1485","13702"
"1486","13702"
"1487","13702"
"1488","13702"
"1489","13702"
"1490","13702"
"1491","13702"
"1492","13702"
"1493","13702"
"1494","13702"
"1495","13702"
"1496","13702"
"1497","13702"
"1498","13702"
"1499","13702"
"1500","13706"
"1501","13706"
"1502","13706"
"1503","13706"
"1504","13706"
"1505","13706"
"1506","13706"
"1507","13706"
"1508","13706"
"1509","13706"
"1510","13706"
"1511","13706"
"1512","13706"
"1513","13706"
"1514","13706"
"1515","13706"
"1516","13706"
"1517","13706"
"1518","13706"
"1519","13706"
"1520","13706"
"1521","13706"
"1522","13706"
"1523","13706"
"1524","13706"
"1525","13706"
"1526","13706"
"1527","13706"
"1528","13706"
"1529","13706"
"1530","13706"
"1531","13706"
"1532","13706"
"1533","13706"
"1534","13706"
"1535","13706"
"1536","13706"
"1537","13706"
"1538","13706"
"1539","13706"
"1540","13706"
"1541","13706"
"1542","13706"
"1543","13706"
"1544","13706"
"1545","13706"
"1546","13706"
"1547","13706"
"1548","13706"
"1549","13706"
"1550","13706"
"1551","13706"
"1552","13706"
"1553","13753"
"1554","13753"
"1555","13753"
